2025-08-11 06:25:10,054 [INFO] app: embedding.py: ✅ Milvus 연결 성공!
2025-08-11 06:25:16,083 [INFO] app: embedding.py: ✅ 컬렉션 'embedding_test' 준비 완료
2025-08-11 06:25:18,229 [INFO] agent.document_processing.clear_collection: ✅ Milvus 연결 성공!
2025-08-11 06:25:18,231 [INFO] agent.document_processing.clear_collection: 📋 현재 컬렉션 목록 (2개):
2025-08-11 06:25:18,232 [INFO] agent.document_processing.clear_collection:   1. embedding_test
2025-08-11 06:25:18,232 [INFO] agent.document_processing.clear_collection:   2. Booking_master
2025-08-11 06:25:18,236 [DEBUG] app: app.py: Log data requested, returning 6 filtered log lines
2025-08-11 06:25:21,415 [DEBUG] app: app.py: Log data requested, returning 6 filtered log lines
2025-08-11 06:25:21,805 [DEBUG] app: app.py: Log data requested, returning 6 filtered log lines
2025-08-11 06:25:22,170 [DEBUG] app: app.py: Log data requested, returning 6 filtered log lines
2025-08-11 06:25:22,537 [DEBUG] app: app.py: Log data requested, returning 6 filtered log lines
2025-08-11 06:25:23,477 [DEBUG] app: app.py: Log data requested, returning 6 filtered log lines
2025-08-11 06:25:24,275 [DEBUG] app: app.py: Log data requested, returning 6 filtered log lines
2025-08-11 06:25:25,001 [DEBUG] app: app.py: Log data requested, returning 6 filtered log lines
2025-08-11 06:25:25,425 [DEBUG] app: app.py: Log data requested, returning 6 filtered log lines
2025-08-11 06:25:25,817 [DEBUG] app: app.py: Log data requested, returning 6 filtered log lines
2025-08-11 06:25:25,821 [INFO] agent.document_processing.clear_collection: ✅ Milvus 연결 성공!
2025-08-11 06:25:25,822 [INFO] agent.document_processing.clear_collection: 📋 현재 컬렉션 목록 (2개):
2025-08-11 06:25:25,823 [INFO] agent.document_processing.clear_collection:   1. embedding_test
2025-08-11 06:25:25,823 [INFO] agent.document_processing.clear_collection:   2. Booking_master
2025-08-11 06:25:26,195 [DEBUG] app: app.py: Log data requested, returning 10 filtered log lines
2025-08-11 06:25:26,567 [DEBUG] app: app.py: Log data requested, returning 10 filtered log lines
2025-08-11 06:25:26,572 [INFO] agent.document_processing.clear_collection: ✅ Milvus 연결 성공!
2025-08-11 06:25:26,573 [INFO] agent.document_processing.clear_collection: 📋 현재 컬렉션 목록 (2개):
2025-08-11 06:25:26,573 [INFO] agent.document_processing.clear_collection:   1. embedding_test
2025-08-11 06:25:26,573 [INFO] agent.document_processing.clear_collection:   2. Booking_master
2025-08-11 06:25:26,922 [DEBUG] app: app.py: Log data requested, returning 14 filtered log lines
2025-08-11 06:25:27,250 [DEBUG] app: app.py: Log data requested, returning 14 filtered log lines
2025-08-11 06:25:27,599 [DEBUG] app: app.py: Log data requested, returning 14 filtered log lines
2025-08-11 06:25:28,434 [DEBUG] app: app.py: Log data requested, returning 14 filtered log lines
2025-08-11 06:25:29,142 [DEBUG] app: app.py: Log data requested, returning 14 filtered log lines
2025-08-11 06:25:30,412 [DEBUG] app: app.py: Log data requested, returning 14 filtered log lines
2025-08-11 06:25:35,421 [DEBUG] app: app.py: Log data requested, returning 14 filtered log lines
2025-08-11 06:25:40,417 [DEBUG] app: app.py: Log data requested, returning 14 filtered log lines
2025-08-11 06:25:45,421 [DEBUG] app: app.py: Log data requested, returning 14 filtered log lines
2025-08-11 06:25:50,414 [DEBUG] app: app.py: Log data requested, returning 14 filtered log lines
2025-08-11 06:25:55,423 [DEBUG] app: app.py: Log data requested, returning 14 filtered log lines
2025-08-11 06:26:00,419 [DEBUG] app: app.py: Log data requested, returning 14 filtered log lines
2025-08-11 06:26:05,423 [DEBUG] app: app.py: Log data requested, returning 14 filtered log lines
2025-08-11 06:26:10,419 [DEBUG] app: app.py: Log data requested, returning 14 filtered log lines
2025-08-11 06:26:15,420 [DEBUG] app: app.py: Log data requested, returning 14 filtered log lines
2025-08-11 06:26:20,420 [DEBUG] app: app.py: Log data requested, returning 14 filtered log lines
2025-08-11 06:26:25,418 [DEBUG] app: app.py: Log data requested, returning 14 filtered log lines
2025-08-11 06:26:30,418 [DEBUG] app: app.py: Log data requested, returning 14 filtered log lines
2025-08-11 06:26:35,418 [DEBUG] app: app.py: Log data requested, returning 14 filtered log lines
2025-08-11 06:26:40,418 [DEBUG] app: app.py: Log data requested, returning 14 filtered log lines
2025-08-11 06:26:45,418 [DEBUG] app: app.py: Log data requested, returning 14 filtered log lines
2025-08-11 06:26:50,419 [DEBUG] app: app.py: Log data requested, returning 14 filtered log lines
2025-08-11 06:26:55,422 [DEBUG] app: app.py: Log data requested, returning 14 filtered log lines
2025-08-11 06:27:00,419 [DEBUG] app: app.py: Log data requested, returning 14 filtered log lines
2025-08-11 06:27:05,421 [DEBUG] app: app.py: Log data requested, returning 14 filtered log lines
2025-08-11 06:27:10,420 [DEBUG] app: app.py: Log data requested, returning 14 filtered log lines
2025-08-11 06:27:15,424 [DEBUG] app: app.py: Log data requested, returning 14 filtered log lines
2025-08-11 06:27:20,417 [DEBUG] app: app.py: Log data requested, returning 14 filtered log lines
2025-08-11 06:27:25,422 [DEBUG] app: app.py: Log data requested, returning 14 filtered log lines
2025-08-11 06:27:30,415 [DEBUG] app: app.py: Log data requested, returning 14 filtered log lines
2025-08-11 06:27:35,421 [DEBUG] app: app.py: Log data requested, returning 14 filtered log lines
2025-08-11 06:27:40,419 [DEBUG] app: app.py: Log data requested, returning 14 filtered log lines
2025-08-11 06:27:45,421 [DEBUG] app: app.py: Log data requested, returning 14 filtered log lines
2025-08-11 06:27:50,415 [DEBUG] app: app.py: Log data requested, returning 14 filtered log lines
2025-08-11 06:27:55,418 [DEBUG] app: app.py: Log data requested, returning 14 filtered log lines
2025-08-11 06:28:00,418 [DEBUG] app: app.py: Log data requested, returning 14 filtered log lines
